번호,시퀀스,모델명,지역,가격,시세안심지수,번호판,연식,주행거리,연료,변속기,색상,사진
145,26371752,페라리 488 스파이더 4.0 V8,경기,"28,850만원",적정,28머8311,17년08월(18년형),917km,가솔린,오토,비앙코 아부스,https://img.kbchachacha.com/IMG/carimg/l/img07/img2637/26371752_28739840859415666.jpg?width=320
146,26536544,포르쉐 911(992) Carrera,경기,"16,280만원",적정,221너7082,23년08월(23년형),"8,121km",가솔린,오토,카민레드,https://img.kbchachacha.com/IMG/carimg/l/img03/img2653/26536544_24504655351187919.jpeg?width=320
147,26661172,BMW i8 1.5 쿠페 하이브리드,경기,"6,380만원",적정,284노1044,16년01월(15년형),"93,370km",하이브리드(가솔린),오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img06/img2666/26661172_27728341870939920.jpeg?width=320
148,26678086,BMW 올 뉴 Z4 sDrive 20i M 스포츠 패키지,경기,"4,070만원",적정,347머1582,20년11월(21년형),"89,558km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img07/img2667/26678086_28745379772429549.jpg?width=320
149,26498711,BMW M시리즈 X5 M E70M,경기,"3,950만원",적정,116주6001,16년05월(16년형),"145,126km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img09/img2649/26498711_23567294931608813.jpeg?width=320
150,26737160,포드 올뉴머스탱 GT 컨버터블 프리미엄,경기,"2,970만원",적정,290오7090,15년08월(15년형),"79,955km",가솔린,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2673/26737160_30128061651212490.jpg?width=320
151,26738993,재규어 F-TYPE 3.0SC 쿠페,경기,"3,809만원",낮음,256우1943,17년03월(17년형),"91,661km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2673/26738993_30149042078067984.jpeg?width=320
152,26738719,포드 올뉴머스탱 쿠페 프리미엄,경기,"3,370만원",적정,237누9057,22년02월(21년형),"53,916km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2673/26738719_30142616331311544.jpeg?width=320
153,26738573,벤츠 SLC클래스 (R172) SLC 43 AMG,경기,"4,590만원",적정,14두9711,18년02월(18년형),"18,830km",가솔린,오토,진주색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2673/26738573_30140595847105938.jpeg?width=320
154,26641538,BMW M시리즈 M4 컨버터블 Competition,경기,"3,990만원",적정,33구4600,18년07월(18년형),"122,815km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2664/26641538_27359536319981454.jpeg?width=320
155,26641519,포르쉐 718 박스터 2.5 GTS,경기,"5,650만원",적정,276두2974,18년06월(18년형),"122,513km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2664/26641519_27359445400858650.jpeg?width=320
156,26737873,BMW M시리즈 M2 쿠페 Competition(F87),경기,"4,400만원",적정,172루3551,20년03월(20년형),"89,556km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2673/26737873_30133773575119520.jpeg?width=320
157,26737365,BMW 올 뉴 Z4 M40i,경기,"6,390만원",낮음,343오5473,23년05월(23년형),"8,678km",가솔린,오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2673/26737365_30128314436752211.jpeg?width=320
158,26737354,닷지 챌린저 3.6,경기,"4,999만원",낮음,62가3270,20년12월(18년형),"71,496km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2673/26737354_30128337284782187.jpeg?width=320
159,26210427,재규어 F-TYPE 3.0SC 쿠페,경기,"3,600만원",적정,128도4060,17년09월(17년형),"72,840km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2621/26210427_16388822413155779.jpg?width=320
160,26409724,BMW M시리즈 M4 컨버터블 Competition,경기,"4,290만원",낮음,41노4137,18년04월(18년형),"73,533km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2640/26409724_21491338689223605.jpg?width=320
161,26737013,벤츠 AMG GT GT,경기,"7,580만원",적정,176로4332,17년05월(17년형),"48,750km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2673/26737013_30121468252182106.jpeg?width=320
162,26733528,도요타 86 2.0,경기,"2,390만원",적정,177러2979,18년01월(17년형),"99,897km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2673/26733528_30042074833043596.jpeg?width=320
163,26732926,포르쉐 911(992) Carrera S,부산,"14,850만원",적정,357우7711,20년05월(20년형),"18,500km",가솔린,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2673/26732926_30034877823182835.jpeg?width=320
164,26732685,포드 올뉴머스탱 컨버터블 프리미엄,대구,"3,250만원",낮음,60오3046,18년08월(18년형),"35,158km",가솔린,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2673/26732685_30035941056391487.jpg?width=320
165,26624196,포르쉐 카이맨 (718) 2.0,경남,"4,590만원",적정,21부9778,17년04월(17년형),"78,155km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2662/26624196_26844083202078204.jpeg?width=320
166,26731922,포르쉐 Taycan Base,경기,"11,500만원",적정,50보4002,23년04월(23년형),"19,832km",전기,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2673/26731922_30034010993115537.jpeg?width=320
167,26721213,벤츠 AMG GT GT,경기,"7,850만원",낮음,229고7108,18년04월(18년형),"99,277km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2672/26721213_29779515058492312.jpeg?width=320
168,26440356,맥라렌 720S 4.0 쿠페 기본형,경기,"19,900만원",낮음,52오1211,18년02월(18년형),"19,941km",가솔린,오토,보라색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2644/26440356_22199298613294980.jpeg?width=320
169,26729048,포드 올뉴머스탱 쿠페 프리미엄,경기,"1,550만원",적정,21수4265,16년05월(16년형),"102,953km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2672/26729048_29946011899689013.jpeg?width=320
170,26726584,BMW M시리즈 X4 M Competition,경기,"8,350만원",적정,126러1238,23년06월(23년형),"29,059km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2672/26726584_29880169916314746.jpeg?width=320
171,26726269,포드 올뉴머스탱 GT 쿠페 프리미엄,경기,"4,890만원",적정,314루9844,21년08월(21년형),"37,062km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2672/26726269_29876761096839850.jpeg?width=320
172,26723987,벤츠 AMG GT GT 4door 43 4MATIC+ 기본형,경기,"9,110만원",적정,140구5518,21년04월(21년형),"33,055km",하이브리드(가솔린),오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2672/26723987_29851592048087632.jpeg?width=320
173,26723106,포드 올뉴머스탱 컨버터블 프리미엄,경기,"2,909만원",적정,249구2147,18년11월(19년형),"78,233km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2672/26723106_29801766343314080.jpeg?width=320
174,26722967,벤츠 CLE클래스 (C236) CLE 450 4MATIC 쿠페 기본형,경기,"7,280만원",적정,397수2385,24년03월(24년형),"31,361km",하이브리드(가솔린),오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2672/26722967_29798757107059020.jpeg?width=320
175,26722806,BMW M시리즈 M4 컨버터블 Competition M xDrive G82,인천,"10,300만원",낮음,207버2145,23년06월(24년형),"13,467km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2672/26722806_29796040240958985.jpeg?width=320
176,26722094,포르쉐 718 박스터 4.0 GTS,경기,"8,600만원",적정,111어8990,21년09월(22년형),"73,082km",가솔린,오토,진주색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2672/26722094_29792247890583425.jpg?width=320
177,26721809,닛산 370Z 쿠페,경기,"3,000만원",낮음,58서2095,18년03월(18년형),"53,209km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2672/26721809_29785932972464041.jpeg?width=320
178,26720568,벤츠 AMG GT GT,경기,"5,790만원",적정,66저4447,16년08월(16년형),"116,851km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2672/26720568_29773162105058052.jpeg?width=320
179,26720009,포르쉐 카이맨 (718) 2.0,경기,"5,800만원",적정,195우9515,19년04월(19년형),"49,771km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2672/26720009_29769260575625742.jpeg?width=320
180,26333200,BMW M시리즈 M5 세단 F10(12~),부산,"6,700만원",적정,64두4484,19년03월(19년형),"67,495km",가솔린,오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2633/26333200_19611852839168088.jpeg?width=320
181,26702382,포드 올뉴머스탱 컨버터블 프리미엄,경기,"2,370만원",낮음,39보9012,18년01월(17년형),"87,252km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2670/26702382_28820559456105259.jpeg?width=320
182,26597320,BMW M시리즈 M5 세단 Competition Edition,경기,"11,490만원",적정,110거1649,22년12월(23년형),"30,717km",가솔린,오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img09/img2659/26597320_26077584975914297.jpeg?width=320
